rides,msw,bmbf,avas,radio,taxi,left,right,total
raw,24335,2236,8896,8796,8879,15067,11504,26571
%raw,91.58481050769636,8.41518949230364,33.48010989424561,33.10375973806029,33.4161303676941,56.704678032441386,43.295321967558614,100.0
finished,22381,2070,8288,7928,8235,13785,10666,24451
%finished,91.53408858533393,8.465911414666067,33.8963641568852,32.42403173694328,33.679604106171524,56.37806224694287,43.62193775305713,92.02137668887133
expo,22359,1997,8251,7908,8197,13737,10619,24356
%expo,91.80078830678272,8.199211693217277,33.87666283461981,32.46838561340122,33.654951551978975,56.400886845130564,43.599113154869436,91.66384404049528
