,Buildings,Dynamic Cars,Dynamic Pedestrians,Inside Car,Nature,Roads,Static Cars,Static Pedestrians,Street Objects,Traffic Lights,Traffic Signs
deeb3583da0f4a31bcd60b03c175b5c4,21.581999999999997,0.0,0.0,5.544000000000001,3.3329999999999997,4.290000000000001,0.0,0.0,0.0,7.953,0.0
b2ffe6b390694831973207fa4681b104,0.0,0.429,0.33,24.849,0.0,41.382,0.0,0.0,0.264,8.778,0.0
5d0556529829443eb3e84932e1456433,27.819,0.0,0.0,8.58,5.973000000000001,5.742000000000001,0.0,0.0,0.33,8.91,0.0
fdec2bc7b6494953a2a39b664a4eed1b,17.457,0.396,0.0,16.962,2.2110000000000003,2.211,0.0,0.0,0.5940000000000001,5.445,0.0
e53519708fd84ef3ab47e5f8236f7023,15.708000000000002,0.0,0.0,13.266000000000002,2.871,7.029,0.0,0.0,0.495,9.866999999999999,0.0
f630c9a1d30c48868129b15e8d5f91c4,24.09,0.0,0.561,19.040999999999997,2.508,0.0,0.0,0.0,0.99,7.953000000000001,0.0
28e9292fcc294bffbc36d30a2211f476,28.611,0.0,0.0,8.712,2.211,7.8210000000000015,0.0,0.0,0.5609999999999999,9.603,0.0
92cfd1ca919f43768efe2c647eab2375,24.816000000000003,0.33,0.0,11.286000000000001,5.643,3.366,0.0,0.0,0.9570000000000001,7.92,0.0
86205a1a11864d309b49810599cb6bc5,0.0,0.0,0.0,18.612000000000002,0.0,50.193,0.0,0.0,0.0,3.729,0.0
9905aaef0a6a481dbd675ad4323d089f,19.206,0.264,0.0,13.035,1.518,8.316,0.0,0.0,0.0,7.689,0.0
16d2cfa097b14394ba989967e2499b25,42.40500000000001,0.0,0.363,4.8839999999999995,6.303000000000001,0.5609999999999999,0.0,0.0,2.8050000000000006,12.903,0.0
96fa74d2572f4056a3ca39b46561a4d6,14.718,5.313000000000001,2.508,2.013,0.33,35.211,0.0,0.0,1.716,9.702,3.168
040c0235e878431a9542aed056ccc418,20.658000000000005,0.0,0.0,6.765000000000001,4.323,12.111,0.0,0.0,0.594,8.712,0.0
227f97e71a564e00bbddf89259426251,9.603,0.0,0.0,5.148000000000001,0.264,46.958999999999996,0.0,0.0,0.264,5.742,0.0
ead9fed5701a48ef85bbc28df11d097b,25.278000000000002,0.5940000000000001,0.0,14.058,0.99,9.141,0.0,0.0,0.759,9.273,0.0
d07e07239bb74aa48e830fb989ebe2d9,0.0,0.0,0.0,31.482,0.429,36.663,0.0,0.0,0.0,3.234,0.0
cb4c244e80384e65812e51344f020e14,10.592999999999998,0.0,0.0,25.575000000000003,2.739,6.072000000000001,0.0,0.0,0.0,7.8870000000000005,0.0
34f893efe0f24f91b6d1ccf0da0cbef6,3.696,0.66,1.452,9.338999999999999,1.6500000000000001,34.287,0.0,0.0,2.112,9.603,0.396
8455a9d1102049dda1d5c77a8a138f45,0.0,0.0,0.297,12.375,0.0,64.02,0.0,0.0,0.0,4.356,0.0
b9df33dccda94335b8d2a5f116f57618,9.207,0.0,0.33,15.972000000000001,0.33,25.872000000000003,0.0,0.0,0.0,5.016,0.0
eb2498641d4e43afad012332fc3edfee,12.111,2.178,0.891,0.792,3.696,20.063999999999997,0.0,0.0,2.013,19.899,1.6829999999999998
16159f6d9a224efaae8c7ee7059f4531,30.195,0.0,0.0,0.0,9.009,0.0,0.0,0.0,0.429,8.844000000000001,0.0
75b10e67143a47db84c352986eec6c53,2.31,0.759,0.297,27.489,0.297,28.083000000000002,0.0,0.0,0.0,4.0920000000000005,0.0
09bc99b7c3254ca1bcc6ac8975e42f77,39.666,0.0,0.0,2.805,2.145,0.0,0.0,0.0,0.5609999999999999,6.732,0.0
e9a8f5766fe2437c9787b8bcff3149e0,0.0,0.0,0.0,65.043,0.0,11.352000000000002,0.0,0.0,0.0,0.0,0.0
752373940cad495aa27c935956d1204c,0.0,0.0,0.0,67.551,0.0,5.8740000000000006,0.0,0.0,0.0,3.333,0.0
f9718107f88c45d3bbe190fb1a55586f,27.423000000000002,0.264,0.33,5.577000000000001,6.039,2.112,0.0,0.0,1.485,9.207,0.5940000000000001
f74a15fad6db4dc8b193542ed59ce96f,35.541000000000004,0.0,0.0,0.9239999999999999,6.6,0.0,0.0,0.0,0.33,9.735000000000001,0.0
5d0375787e4b433f8d4830e5ffd76387,10.395,0.264,0.0,32.702999999999996,0.0,7.425000000000001,0.0,0.0,0.33,6.831000000000001,0.0
c48607f375294012a237fb7919e6acd3,14.982,0.0,1.155,3.729,1.155,17.358,0.0,0.0,0.825,8.613000000000001,0.0
aed8f63caf3b48029aad07c5d62d34a1,0.0,0.0,0.0,46.629,0.0,17.127000000000002,0.0,0.0,0.0,3.333,0.0
8acefbf0b2094d589474282ff88f5d99,34.782,0.0,0.297,10.263,7.952999999999999,2.541,0.0,0.0,0.9570000000000001,8.349,0.0
a6eec9ce623046f29880bd19088b7d40,37.059,0.0,0.0,9.075,5.9399999999999995,0.0,0.0,0.0,3.4650000000000003,8.052,0.0
5da4036740d74d9b80a09f8b8c1809a0,23.034000000000002,0.0,0.0,7.259999999999999,5.8740000000000006,2.277,0.0,0.0,1.353,7.062,0.0
fb3c02d599ce42ffa57be7044ae34f3a,0.0,0.0,0.0,71.47800000000001,0.0,7.623000000000001,0.0,0.0,0.0,3.6300000000000003,0.0
18e662ede0a34b0196c42e74849e4e55,0.0,0.0,0.0,45.53999999999999,0.0,13.101,0.0,0.0,0.0,3.7950000000000004,0.0
2fbf872477de46c0a1deae8e9a1e33e9,2.607,0.363,0.429,26.994,0.6599999999999999,24.948,0.363,0.0,0.0,4.257000000000001,0.33
c7c213ff6059428f8bdd4d5a5ad99fd1,1.089,1.617,0.0,1.3530000000000002,1.221,60.126000000000005,0.0,0.0,0.759,7.425000000000001,0.0
b0b5ffd66ebe4409a13b49627ae9ad60,23.991,1.089,0.462,3.7620000000000005,3.465,3.135,0.0,0.0,1.584,9.141,0.627
