id,date,expo,side,condition
c63ed49c77d64acbb43a553c313d4f1d,2019-05-14 20:44:00,MSW,right,TaxiDriver
c4ae90ae44b842878633885c0db3a805,2019-05-15 10:15:00,MSW,right,TaxiDriver
f1e8b6b1f0d646a6894b8cbabad60dca,2019-05-15 10:16:00,MSW,left,TaxiDriver
ef8fd2c4d8114418bc2114044c69e3cf,2019-05-15 10:18:00,MSW,right,TaxiDriver
1fb630b190a249b09a84b20b82e1e97f,2019-05-15 10:22:00,MSW,right,RadioTalk
5632dc407d39490f816f1017308ce1ee,2019-05-15 10:23:00,MSW,left,AVAS
3ba0383801034d02b268f4fd80a50e25,2019-05-15 10:30:00,MSW,left,AVAS
74d4555fc7204857b695b963bb022ec3,2019-05-15 10:31:00,MSW,right,AVAS
b0fa51e40579484691ca6e0ece5eb702,2019-05-15 10:34:00,MSW,right,TaxiDriver
83f78e11b2d34ec1adaffd7c56b8e24a,2019-05-15 10:45:00,MSW,left,AVAS
9e1340fc23154438ac7f21291868982b,2019-05-15 10:45:00,MSW,right,RadioTalk
112e2d5e60914aac90ef77a549fd688d,2019-05-15 10:47:00,MSW,right,TaxiDriver
0e2b1886c66746e098f5ab7713264612,2019-05-15 10:48:00,MSW,left,AVAS
2b729046ab7543e6ae9caf3597cc9a26,2019-05-15 10:51:00,MSW,right,TaxiDriver
4622de6229ba41e493ee51dcaaa56cb7,2019-05-15 10:51:00,MSW,left,AVAS
c07588426e744bcc9a85ad1ff7e54e1e,2019-05-15 10:57:00,MSW,right,AVAS
e8c5ff0419db478694253c881ac1a1d1,2019-05-15 11:02:00,MSW,right,RadioTalk
81cf6221c0e24af4b7e8e62b0ae10b95,2019-05-15 11:02:00,MSW,left,AVAS
af42a3d6b2004cb482f59ff9537d2c71,2019-05-15 11:05:00,MSW,right,AVAS
c06d4ed93dfd4a2d93090d73c9decd84,2019-05-15 11:06:00,MSW,left,AVAS
729ad65643dd48e48854c52ad8582830,2019-05-15 11:11:00,MSW,left,RadioTalk
e9525e44daad42b995b8bc7756d898ed,2019-05-15 11:12:00,MSW,right,AVAS
a175d88588d94468be31fb7759ac35da,2019-05-15 11:18:00,MSW,right,TaxiDriver
25bfbcf0bec8418c9e5eb38b090f99b6,2019-05-15 11:19:00,MSW,left,TaxiDriver
96696617f4b84aa6860979112b450b86,2019-05-15 11:31:00,MSW,left,TaxiDriver
51f7490c46574c56a6e02edd4c3c11a0,2019-05-15 11:37:00,MSW,left,AVAS
60ba54e66c1148a18845c4165e69577c,2019-05-15 11:46:00,MSW,left,RadioTalk
17187392b7d948829af074234b3fa7b5,2019-05-15 11:46:00,MSW,right,RadioTalk
828b7ad1ef0e4bb3b52d9498986a8467,2019-05-15 11:50:00,MSW,right,AVAS
f076969e1c144afb87987cdc89163051,2019-05-15 11:51:00,MSW,left,RadioTalk
d8e05c0cbaae40a4be22d7220a88610d,2019-05-15 12:02:00,MSW,left,AVAS
4e628ba588544d9e8989abce6aab7d5f,2019-05-15 12:12:00,MSW,right,RadioTalk
8684d8bc021147f8b7c553350675ecf1,2019-05-15 12:13:00,MSW,left,TaxiDriver
85e2eefb5cdf475f91dad0b6d4ee51a6,2019-05-15 12:15:00,MSW,left,AVAS
ba28d85f44ad4a5ea2007d58d7c0bfdf,2019-05-15 12:16:00,MSW,right,RadioTalk
9abcbc1bd241422382f601fbde043489,2019-05-15 12:18:00,MSW,right,AVAS
c5a389224e09431094b9a9a9bfd650ce,2019-05-15 12:19:00,MSW,left,TaxiDriver
9cf2e3139a594cf1b9bbb36407548dfa,2019-05-15 12:22:00,MSW,left,TaxiDriver
b4e134e6b5ae440e9729d809819b4489,2019-05-15 12:22:00,MSW,right,RadioTalk
40b382c8b90c4fb19573af73739ab5d4,2019-05-15 12:25:00,MSW,right,AVAS
8fd9e9283b9349509f8b2550a0de81bf,2019-05-15 12:26:00,MSW,left,TaxiDriver
699253f481374084942f32588c800243,2019-05-15 12:28:00,MSW,right,RadioTalk
f0f80e021125471c9e7f8c55dcb949e9,2019-05-15 12:29:00,MSW,left,RadioTalk
abc68cf8f141461f86c57ee800dded3e,2019-05-15 12:32:00,MSW,right,RadioTalk
0c88188455ea45e694cd1ed326d49fd6,2019-05-15 12:32:00,MSW,left,TaxiDriver
4ad4336f5a5f4eab8b7ef91f4484449d,2019-05-15 12:35:00,MSW,left,AVAS
af99ab854713475a99296ae7a5d9f919,2019-05-15 12:35:00,MSW,right,AVAS
6f0433c37a224ab9976b63da6930ba21,2019-05-15 12:38:00,MSW,left,RadioTalk
6b5d1bae85844d6c9bba6e411edd1f80,2019-05-15 12:38:00,MSW,right,TaxiDriver
560dcf2551104eb389f7e44c5b5da0a6,2019-05-15 12:40:00,MSW,right,AVAS
ff760b6984f349d5b9d4cb65e0d52674,2019-05-15 12:41:00,MSW,left,TaxiDriver
35d2b7e52b0c4629af679468071a6edf,2019-05-15 12:43:00,MSW,right,AVAS
0696b6346d324a5a8994fdd1ec9a02db,2019-05-15 12:44:00,MSW,left,TaxiDriver
55615bc6cb9f4a2ba16e29a2cfd43405,2019-05-15 12:46:00,MSW,left,AVAS
f30c65aa24b34f80af70e0764c89a749,2019-05-15 12:46:00,MSW,right,AVAS
2152ede51abf46ca87ae606d11524561,2019-05-15 12:49:00,MSW,right,TaxiDriver
c40c9644babf4872b4a8468f1a6254dc,2019-05-15 12:52:00,MSW,right,RadioTalk
dca2999fdf9d4079ae34631d70063778,2019-05-15 12:52:00,MSW,left,AVAS
188f6d791c164e8fbca995293490d804,2019-05-15 12:55:00,MSW,right,TaxiDriver
f8d1059e5398406da010e2d6cc0e79a0,2019-05-15 12:55:00,MSW,left,TaxiDriver
c0749b69ed7b4fea896dc84558772b09,2019-05-15 12:58:00,MSW,left,AVAS
1a123c951f19465c8524a40dd660f974,2019-05-15 12:59:00,MSW,right,AVAS
5a821c732bc841bd97c33edc274253c6,2019-05-15 13:01:00,MSW,left,AVAS
1743b744a85d4c0696dc013560b598fd,2019-05-15 13:03:00,MSW,right,RadioTalk
2834c8ccc462406388010d04c395522e,2019-05-15 13:03:00,MSW,left,RadioTalk
0ba0564661dd49a3acfb591869fc840d,2019-05-15 13:05:00,MSW,right,RadioTalk
71ab7d3f9b014f6d916ebf6f8b2b7e5f,2019-05-15 13:10:00,MSW,right,RadioTalk
85ab9fb4c4d8468ebc2db97896afea20,2019-05-15 13:11:00,MSW,left,AVAS
c854af1884c94d0aa38fe7b1200f2678,2019-05-15 13:13:00,MSW,left,RadioTalk
9b97214df86c4c3781c35ece388ec0e3,2019-05-15 13:13:00,MSW,right,TaxiDriver
5ea53f9cea954d5db1bbd6467dde1c5f,2019-05-15 13:24:00,MSW,left,AVAS
5fd9254c89334af18a271cafbc913be0,2019-05-15 13:25:00,MSW,right,RadioTalk
7836bbc88a674d0190389262c022d607,2019-05-15 13:26:00,MSW,left,TaxiDriver
06ce68843bee4f279ff306264ec15a66,2019-05-15 13:49:00,MSW,left,TaxiDriver
7911daa73ba441daacafc56b9cd72600,2019-05-15 13:51:00,MSW,left,TaxiDriver
8a2f55bed6e24d89b3da2550c2e49615,2019-05-15 13:59:00,MSW,left,RadioTalk
8a1314ca31af4c0182835b9d7834e9a8,2019-05-15 14:01:00,MSW,left,RadioTalk
