,Buildings,Dynamic Cars,Dynamic Pedestrians,Inside Car,Nature,Roads,Static Cars,Static Pedestrians,Street Objects,Traffic Lights,Traffic Signs
f076969e1c144afb87987cdc89163051,40,3,2,13,6,7,0,0,3,11,0
d8e05c0cbaae40a4be22d7220a88610d,15,4,1,0,8,11,0,0,4,6,0
8684d8bc021147f8b7c553350675ecf1,19,3,0,29,1,13,0,0,2,2,2
85e2eefb5cdf475f91dad0b6d4ee51a6,11,0,0,38,4,16,0,0,1,6,0
c5a389224e09431094b9a9a9bfd650ce,0,0,0,50,0,24,0,0,0,2,0
b4e134e6b5ae440e9729d809819b4489,4,0,0,47,0,13,0,0,0,2,0
8fd9e9283b9349509f8b2550a0de81bf,16,2,2,27,2,14,0,0,1,3,3
699253f481374084942f32588c800243,0,0,2,52,0,10,0,0,1,2,0
f0f80e021125471c9e7f8c55dcb949e9,6,0,0,45,5,14,0,0,0,2,0
abc68cf8f141461f86c57ee800dded3e,8,0,0,50,0,23,0,0,0,2,0
0c88188455ea45e694cd1ed326d49fd6,25,1,1,16,6,9,0,0,4,5,0
af99ab854713475a99296ae7a5d9f919,25,1,1,7,7,3,2,0,2,7,0
4ad4336f5a5f4eab8b7ef91f4484449d,24,0,0,21,5,8,0,0,4,6,0
6f0433c37a224ab9976b63da6930ba21,12,0,0,33,1,25,1,0,2,4,0
6b5d1bae85844d6c9bba6e411edd1f80,41,1,1,6,5,0,0,0,1,4,0
560dcf2551104eb389f7e44c5b5da0a6,31,2,4,5,1,4,1,0,7,8,11
ff760b6984f349d5b9d4cb65e0d52674,36,0,0,0,12,0,0,0,5,7,0
35d2b7e52b0c4629af679468071a6edf,19,2,1,28,5,19,1,0,5,6,0
55615bc6cb9f4a2ba16e29a2cfd43405,15,0,0,26,2,17,0,0,1,3,1
f30c65aa24b34f80af70e0764c89a749,17,1,1,23,13,9,0,0,5,8,0
c40c9644babf4872b4a8468f1a6254dc,6,0,0,48,1,20,0,0,0,1,0
dca2999fdf9d4079ae34631d70063778,0,1,0,40,0,31,0,0,1,2,0
f8d1059e5398406da010e2d6cc0e79a0,0,0,0,40,0,13,0,0,0,3,0
188f6d791c164e8fbca995293490d804,2,0,0,46,0,18,0,0,0,3,0
c0749b69ed7b4fea896dc84558772b09,12,1,1,29,2,11,0,0,4,5,0
1a123c951f19465c8524a40dd660f974,30,1,2,21,4,7,2,0,3,5,0
5a821c732bc841bd97c33edc274253c6,19,0,0,25,6,14,0,0,4,5,0
2834c8ccc462406388010d04c395522e,10,2,1,35,2,17,1,1,4,2,0
1743b744a85d4c0696dc013560b598fd,19,2,0,21,10,6,0,0,1,7,0
0ba0564661dd49a3acfb591869fc840d,10,1,0,30,6,23,0,0,1,2,0
71ab7d3f9b014f6d916ebf6f8b2b7e5f,6,0,0,45,1,42,0,0,0,1,0
85ab9fb4c4d8468ebc2db97896afea20,7,0,2,35,3,28,0,0,1,3,0
9b97214df86c4c3781c35ece388ec0e3,1,0,0,52,0,14,0,0,0,1,0
5ea53f9cea954d5db1bbd6467dde1c5f,8,1,1,43,1,17,0,0,4,1,0
7836bbc88a674d0190389262c022d607,3,0,0,50,0,17,0,0,0,3,0
8a2f55bed6e24d89b3da2550c2e49615,14,3,2,16,4,18,0,0,8,7,4
8a1314ca31af4c0182835b9d7834e9a8,39,0,0,7,8,1,0,0,2,7,0
e684e59cf4a545beaf9715ec76e4ee23,0,0,1,28,1,17,0,0,0,1,1
ac21392b6a59404dae329be5b9b2a989,3,0,0,48,0,29,0,0,0,1,0
75a52bc317ee4ee8a872c818ca8e249d,29,1,0,21,13,0,0,0,1,4,0
a4abe20f62df425fa69de0cbfb82a8d4,21,0,0,11,10,11,0,0,3,2,0
44054e8856c94e5eb0465fc6ef68f921,5,0,0,48,0,23,0,0,1,2,0
5f5fb7595c53450fb92ab1acae96830b,7,0,0,29,1,13,0,0,0,0,0
78c55427a7e4422fa562dd4547282ffc,3,0,0,31,1,25,0,0,0,1,0
b0cb6f0681f246c6a19de8f8e5d2ea45,0,0,0,43,0,35,0,0,0,2,0
3ef0d5e00dd84407a5bd576c3a7875cc,2,0,0,10,0,46,0,0,0,2,0
eb3198c069a7405bbdf1743472a81305,0,0,0,32,0,23,0,0,0,4,0
b4acefc7d36b4abe81d0291e41677a9a,0,0,0,44,0,28,0,0,0,1,0
ea422f2027ea47659849bf88b92bc61f,8,0,0,53,3,27,0,0,0,5,0
2904da6c2f3a4b10bf982be3f91a9961,0,0,0,21,0,29,0,0,0,2,0
e993b1bdc98a4b169d6aae6877fa1553,6,1,0,40,1,17,0,0,1,1,0
54ca5a82244e4f09b2f8cb0c65bb05d9,9,0,0,41,0,18,0,0,0,3,0
e2782411d157481fa8135b31ffedc830,3,1,0,53,0,32,0,0,0,1,0
005fe0de24c7443fb38fbc59e68e3684,27,1,2,11,8,17,0,0,3,6,0
75f6d368fa33408eaeae695ff41a760b,25,3,2,1,3,15,0,1,6,8,7
d96c0c9e45a44466ad8d4e1775d0d262,35,1,3,0,14,0,0,0,12,7,15
ed4867086c75453680e30e960dc1a6a7,15,1,1,23,2,19,0,0,1,7,1
375e9403926f4372bae5639070635d6c,19,0,1,10,3,15,0,0,4,5,2
9b605535ba324237b47615cf78e5d5a1,31,1,0,19,7,8,0,0,4,9,0
88d45f6c7108461d8973fad27207e70d,38,0,0,2,12,4,0,0,8,7,0
54d78ac6fb7b4b04bf067637bc675ac5,6,1,2,28,3,17,0,0,5,8,0
d498b4920722459aa9f19cc9daddcaba,1,0,0,44,0,22,0,0,0,2,0
780225351a0840a8ac763843d2128bf8,13,0,0,28,2,25,0,1,1,1,0
941772a619bd462f8295e569c7364992,30,0,1,24,7,4,0,0,3,7,0
b8da24d5e9aa4b5f9430612ed6a7eaaf,24,0,0,26,4,1,0,0,2,4,0
3a16b0b78b1447cc8b1fad9656ef0d51,1,0,0,7,2,4,0,0,1,1,0
5df9af209a8843889ce4425034e1c3dc,35,0,1,4,6,5,0,0,3,6,1
3b0e12c1efe444959e5e2b1b016e38ad,31,0,1,5,5,3,0,0,7,11,0
e60c5e9e8d084a0f9ffcbd5c5ef02674,35,0,1,3,12,5,0,0,1,5,0
c021bb644aa64bcb918533ca78e2c818,28,1,2,16,5,7,0,0,5,9,0
df8f1f0ad5d9421897a6db20c0c7defc,30,0,0,6,6,2,0,0,6,4,0
86e026b7412140bc94beb371cce70672,24,0,0,0,9,0,0,0,4,7,0
de6aa7977a2a4cf7b1d3332a17d3d4ac,8,0,0,28,2,25,0,0,6,1,2
75a66024e2c842a1829747ed8c93be73,24,0,1,10,8,7,0,0,5,7,0
ed22be7e7d264c719e661562fab0c927,8,0,2,43,2,20,0,0,3,2,0
8a2f999c2d4c4b86b5e948b575edefb5,40,3,1,0,20,1,0,0,6,10,1
320e57920da84e039c4ab62ccf19de6d,25,1,1,14,2,8,0,0,2,7,0
2bd4da61824e43e4850e463a0213edea,37,0,1,0,14,0,0,0,7,6,0
206973e6e2054e548199e7d5452950cc,34,1,1,7,9,2,0,0,4,7,0
11f96fa3d5744a6eb19ea970c36d2479,45,0,0,7,12,1,0,0,5,7,2
755d125dd45d441f8be9a61a44e1f103,18,2,2,26,5,8,0,0,3,8,2
dcd7eba72ffb4d0b88dbf6a029d3608c,4,0,0,60,2,12,0,0,0,2,0
ed360e87202b44f48567f2a7caf17f60,20,0,0,32,7,16,0,0,0,6,0
05a4e672b9304dbb8b4aab2775834de9,33,1,0,3,7,3,0,0,7,6,0
2dbc75f500024f96b4f4fa462fd58210,34,1,3,6,14,1,0,0,3,10,0
4f616a73be4f4f3dbc8b41b72d45d154,26,0,0,0,7,0,0,0,4,6,0
c0b97accae414ba29f95d0094ecaf138,16,2,1,4,11,23,0,0,3,9,4
9b4ead458b8a40b1a4b6ecc15a43e24b,37,1,1,6,10,0,0,0,4,6,0
fe291f82b2024e2f8b0c349d7cbb2f2c,30,2,0,10,9,1,0,0,3,6,0
2d49824ea43f4abba28d58221db56bef,36,0,1,7,17,0,0,0,9,8,0
46bfabc41848449fb7faba0f6c23199e,30,0,0,14,8,3,0,1,2,5,0
a1ae19404b3f4014984a57abaf35c476,16,1,2,41,1,15,0,0,2,4,0
d0fdb873f86d49a8953554752a6bdd51,21,0,0,24,7,6,0,0,1,4,0
5c7d6067117b4d36a975947ff23f04c2,29,0,1,28,7,7,0,0,1,7,0
54171fccc5b3458f947b73871217128f,27,1,0,15,6,2,0,0,2,4,0
32756ff0fe8f449a8cd17e2dfd54c1ad,32,2,0,12,9,7,2,0,1,5,0
18881d3ec46e4a34bf3d1ff80de5109a,36,2,0,12,8,1,0,0,3,10,0
c0dc2be966224299a2cbd4afe2a7a26f,13,0,1,24,8,1,0,0,8,11,0
a24bf755207e4d4f97a97588f90d11d3,33,1,0,16,6,1,0,0,3,6,0
c03943455be84e538c0407a38493bdf9,24,1,0,29,1,12,0,0,1,5,0
46d38cc7003c449ba90edb88a23ebf3d,19,0,0,28,6,11,0,0,8,3,2
c2f38218f14d499ba2b141b920d12edd,18,0,1,26,4,7,0,0,3,5,0
1a6e71cebb424393adb4732916202afd,23,0,1,20,6,8,0,0,3,3,0
ee0b9b2ae9854d8c91dbb9d64cbdbd58,10,0,0,44,3,4,0,0,3,2,0
0789bd6d21d14d54bb9d974524fa1bf6,14,2,0,37,6,1,0,0,1,4,1
90217d49cedb4da492e807e30e89137c,23,1,1,29,14,14,0,0,5,4,0
a44c75e916e049d29a6236be3324536e,35,1,0,12,13,2,0,0,5,9,0
