questionnaires,msw,bmbf,avas,radio,taxi,left,right,total
finished,8832,1199,3451,3223,3357,5781,4250,10031
%finished,88.04705413219021,11.95294586780979,34.403349616189814,32.13039577310338,33.46625461070681,57.63134283720466,42.36865716279534,100.0
expo,8823,1150,3430,3209,3334,5755,4218,9973
%expo,88.46886593803269,11.531134061967311,34.392860723954676,32.17687756943748,33.430261706607844,57.705805675323376,42.294194324676624,99.42179244342537
no duplicates,8723,1150,3396,3173,3304,5697,4176,9873
%no duplicates,88.35207130558088,11.647928694419123,34.39683986630204,32.13815456294946,33.46500557074851,57.7028258887876,42.2971741112124,98.42488286312431
no NaNs,8357,1150,3284,3046,3177,5513,3994,9507
%no NaNs,87.9036499421479,12.096350057852108,34.542968339118545,32.039549805406544,33.41748185547491,57.98885032081624,42.01114967918376,94.77619379922241
