id,created,expo,side
b79415c9762b4a9eb4aeebb0ec68698b,01.07.2019 18:21,BMBF,left
f0969eb2f5c04a988f5ac863ad435402,01.07.2019 19:30,BMBF,left
062fef13760e46fda940d62d428b3020,01.08.2019 13:12,BMBF,left
e3c073c3c5fc4277945bd2d6b77e97df,01.08.2019 13:23,BMBF,left
3b21e13f1eee40dc815ef2ef2263cce0,01.08.2019 13:31,BMBF,left
07984db2c6f8419ca413f0b13948240c,01.08.2019 14:10,BMBF,left
1e0961aa2645473c9e49f420bae2e06d,01.08.2019 16:08,BMBF,left
01291315ef4943b68c960bf4d0eeab92,01.08.2019 16:19,BMBF,left
5da4eefe8db441178301a43283861f50,01.10.2019 11:49,BMBF,left
f2e02b895d4e4372b84159ccd438f424,01.10.2019 11:52,BMBF,left
cb38a4cef160463ea69e477ccae3ead7,01.10.2019 12:23,BMBF,left
d9d1e050275840129b68a675e11bc389,01.10.2019 12:30,BMBF,left
4b3366f0f1af44bd81448e5457a551a3,01.10.2019 12:36,BMBF,left
c1a8c08406d64a91b333e928bbb054ec,01.10.2019 12:39,BMBF,left
ef0489367e504123a04dcb7708fe45ed,01.10.2019 12:41,BMBF,left
edbbe5f7ac8c428fa73a21ebda3c9c8b,01.10.2019 12:45,BMBF,left
1022d4295de4488fa2ee92fd8fa0eac1,01.10.2019 13:12,BMBF,left
a321b41c5bc647d89d63d91eb7adac3a,01.10.2019 13:22,BMBF,left
12ddd21c2bc2428fb518d6c98e059ec4,01.10.2019 13:26,BMBF,left
5a7300903d9b40e189fa4845fbefa22f,01.10.2019 13:37,BMBF,left
de18a482f3f74502bcac8b57612baab0,01.10.2019 13:40,BMBF,left
3841da87e4974c7c807577893ad3d8d7,01.10.2019 13:44,BMBF,left
0cdf1c61f610445489985dca376acf57,01.10.2019 13:48,BMBF,left
a0b9eedcdbe9484dbdcdda6e2c7bac85,01.10.2019 14:31,BMBF,left
9af1ffdde08e4d5497d81eddf3629e50,01.10.2019 14:43,BMBF,left
34ff9e1bec4a47e6a191601b01c59481,01.10.2019 15:11,BMBF,left
3d2f62ab04f0477b9b19495f56830c79,01.10.2019 15:49,BMBF,left
70784a52864c475992089c2002b1950e,01.10.2019 16:14,BMBF,left
cc850fcbba734739b375f7179a4f487e,01.11.2019 11:58,BMBF,left
235706b9abd2424bb797e4ea93cf8a9e,01.11.2019 13:53,BMBF,left
6b81d4063dcd4244ad7ecb492a074d93,02.07.2019 11:44,BMBF,left
5e6741244c444766897f4d82ea5ebfa7,02.07.2019 11:54,BMBF,left
3f101e0f0faf45908bdc1f429abecee8,02.07.2019 12:02,BMBF,left
fa0885937e114e9a907a5a4feda5798b,02.07.2019 12:07,BMBF,left
132256b042674a5f8ed249578fc624b4,02.07.2019 12:44,BMBF,left
579582014ec6465494f8051cd6c20d58,02.07.2019 14:25,BMBF,left
babb5258be6e46ffacdefbdc93b586c9,02.08.2019 08:59,BMBF,left
7d7dcdbbe5f84a6ead93310a4d42757a,02.08.2019 12:13,BMBF,left
247119b6e5714dcd8e6750d4fe4e7b6d,02.08.2019 14:59,BMBF,left
455c8587c7484cd6ae32eb6a7a3e6228,02.09.2019 09:49,BMBF,left
66078cbad2db446ba18f820eadf8abcf,02.09.2019 09:54,BMBF,left
142f0966087849efb9dc9e0bb7cd411c,02.09.2019 09:56,BMBF,left
06f5620732564a2aad8fcf2d01d8f235,02.09.2019 11:35,BMBF,left
1b58458fd4b144f5b044acbc4e770dc7,02.09.2019 12:14,BMBF,left
bf0e0af7024745f0a9ccde265565146e,02.09.2019 14:11,BMBF,left
a74fb175c4d4480abadf50f34f439f5b,02.09.2019 15:30,BMBF,left
bdee7c59320145299d9d55db7fc99f65,02.10.2019 14:50,BMBF,left
bb82dd0046c344219b4279448e6027ad,02.10.2019 14:57,BMBF,left
b1ef4c7228d74fbeaa88391f99a64425,02.10.2019 15:39,BMBF,left
8747e01337e743988ee64fcded5ff63f,02.10.2019 15:44,BMBF,left
813cb6f1b1a24ccab4daf8440fe1c796,02.10.2019 15:55,BMBF,left
865617c5ce0445a3bee5786632231095,02.10.2019 18:35,BMBF,left
95e68b8f3fbc40dda1358f5eae27030a,02.11.2019 12:02,BMBF,left
e9fd9032c136461ba4d8162a79ab848c,02.11.2019 12:17,BMBF,left
de0758669024446cb14e1b47e8bcea82,02.11.2019 12:19,BMBF,left
477abd715e7940a9aad4eea7de7c8853,02.11.2019 12:21,BMBF,left
75c05212373a44f895777b31c5dbfc05,02.11.2019 12:24,BMBF,left
75899482710b4ee8bd722b71ab7b781e,02.11.2019 12:30,BMBF,left
0de8ad8592874ded9d657814fb8524e7,02.11.2019 12:53,BMBF,left
ff3adaa156254614a301118396a5571f,02.11.2019 13:10,BMBF,left
6746c08fd33745eebc2a18c714f475b3,02.11.2019 13:14,BMBF,left
e6e34914305c4a75a17ff5bb24cf5b56,02.11.2019 14:12,BMBF,left
c1d92d51c7e34dfeb1a7e8073f3b620b,02.11.2019 14:53,BMBF,left
3ddaf6ef01884fbdbf6162d58eeb8b6a,02.12.2019 12:57,BMBF,left
3b6fda285d9e412eb081986b2f22a2e3,03.01.2020 16:13,BMBF,left
18ffb0abdc8642098c479380bfa533d1,03.01.2020 16:15,BMBF,left
d58f5ed5444f44ca8aec9f3891f049d9,03.07.2019 12:35,BMBF,left
421b48c78fef4252906f3c244238b028,03.07.2019 12:43,BMBF,left
df8474d3b3854fd6adb351368aa0b6b4,03.09.2019 09:48,BMBF,left
30c4a456989a4e519e1a2a1ee4462da9,03.09.2019 09:51,BMBF,left
53b2477e533e4240b41ebcb1843217ef,03.09.2019 11:34,BMBF,left
312c662438ef494b954aacdb4f6d0ee4,03.09.2019 11:36,BMBF,left
f0ed5b3b466149428557112c4d664c5f,03.09.2019 11:39,BMBF,left
8ea094e685254891bd3dd464c592fb77,03.09.2019 11:43,BMBF,left
d4579ab7bb92407ea15b57fcdf3888ed,03.09.2019 11:49,BMBF,left
1071b75c95d74896af8f7b7ef66c900b,03.09.2019 12:00,BMBF,left
9b1454779e764655a0ed590c175e7bef,03.09.2019 12:48,BMBF,left
a02f99c5dd714a3a9a66f78a794df977,03.09.2019 13:38,BMBF,left
e4321437ef09452988310ba78e101fc5,03.09.2019 13:41,BMBF,left
98c8de39817c426ba80af7120a9a57e1,03.09.2019 13:44,BMBF,left
adf839a1437a4d73b25557ca31a22f1a,03.09.2019 14:11,BMBF,left
8cedded7b067497ebcc38c5be674bb74,03.09.2019 14:17,BMBF,left
b46a1b2f4327405aaa9f9cd5a88e4252,03.09.2019 14:27,BMBF,left
99bc1e1e3c6b433688a8f7dd6a1e4264,03.11.2019 13:30,BMBF,left
6f11350ec8c24eeba3706a6884588cde,03.11.2019 13:33,BMBF,left
1eb676386f3c4d3abe1e08b09e53cb7b,03.11.2019 14:01,BMBF,left
0b99751529bc42688908239a15a55b67,03.11.2019 14:44,BMBF,left
90c93b714f1d40ddb68fb450b39c467b,03.11.2019 14:50,BMBF,left
53ecf491067d42a7ac0624ef917012cd,03.11.2019 15:03,BMBF,left
269fab5a446e45b8b2f98b5871a30332,03.11.2019 15:11,BMBF,left
09df80e57d3b475e82f13b00f11134bf,03.11.2019 15:23,BMBF,left
fc212ce8416d476fb367aee5a9c10aef,03.11.2019 15:28,BMBF,left
2858beeeee59479785ffc5057e509a24,03.11.2019 15:34,BMBF,left
4510200e4f384e0e8167deceb934f99c,03.12.2019 09:20,BMBF,left
14f6f853136d483f90fc89195b9aa2f6,03.12.2019 09:23,BMBF,left
178e5f42bff14fb0b740a1eab4fd9209,03.12.2019 09:27,BMBF,left
b6ebc30e4a9d4d1db18689b01a8bf88e,03.12.2019 10:40,BMBF,left
3a07738dc8484e978258c1710b3e6fa3,03.12.2019 10:49,BMBF,left
b3891f96847a44dd9d6272c91d0071f4,03.12.2019 10:56,BMBF,left
35ddf191030f4ac38dce559e9ed0bc05,03.12.2019 11:02,BMBF,left
60058cf21bd943c2b26c2a5a55bc8eab,03.12.2019 11:11,BMBF,left
2e278ff42d8c47daa805a75c08e0582f,03.12.2019 11:46,BMBF,left
6c4ace4f82c6409ab6838edc5346d0b5,03.12.2019 13:18,BMBF,left
0ef4ec423e5b4df7bfe251689316d6fb,03.12.2019 13:59,BMBF,left
36e2d86835794ef3ab6a7d295c7476f9,03.12.2019 17:36,BMBF,left
c7bacd545737454fa53bfa03bd25d321,04.09.2019 08:42,BMBF,left
539a4134fde84062bef48e23b9bdaf5b,04.09.2019 11:44,BMBF,left
b29e9a3ff4d8493e92282051608e7f4a,04.09.2019 11:52,BMBF,left
9c71f5003ca344f886ec5db3fcc7d881,04.09.2019 12:19,BMBF,left
85a698f756c2401ba3592f661ae09a92,04.09.2019 14:09,BMBF,left
3ad808b66c7f4ccab8ff5f809f87c289,04.09.2019 14:55,BMBF,left
63f7ae2944be46279f77c961b0f702a0,04.10.2019 12:18,BMBF,left
2886ccae9bfd4c67b2d9c601087378c7,04.10.2019 13:28,BMBF,left
4ffdae00ecc64bc8aaf08814f382fcab,04.10.2019 13:33,BMBF,left
1232da9c4ba84184b09e67fa712ed3f5,04.10.2019 13:37,BMBF,left
1e5c6040c97c46cba15a666d64843378,04.10.2019 14:30,BMBF,left
80c34641c4be40a789fbc3e475015cf6,04.10.2019 14:36,BMBF,left
b701a42dc8274db284a29511de80a94d,04.10.2019 14:40,BMBF,left
0797c45f04074097bf53c198a1263cdd,04.11.2019 09:24,BMBF,left
e8c48907de4b40db9ce5490d91061837,04.11.2019 13:46,BMBF,left
ea717417400f490c97e43bb92ecfe676,04.11.2019 13:48,BMBF,left
d70660a0b97247d5b28ede0428ff8514,04.11.2019 14:09,BMBF,left
2d93b6ccd7b344e482f4bb0ed078999c,04.11.2019 14:12,BMBF,left
1e6d4b2f6fc947d0b73089b6e9306b29,04.11.2019 14:15,BMBF,left
3304b9141a6d4c29a967e57564fb8e8e,04.11.2019 14:19,BMBF,left
b857fa871f814b7db34b120621204ac1,04.11.2019 14:25,BMBF,left
4382789e44bc4e8e8b0c41f0993f7317,04.11.2019 14:29,BMBF,left
