id,condition,2std,1std
1743b744a85d4c0696dc013560b598fd,RadioTalk,False,False
0ba0564661dd49a3acfb591869fc840d,RadioTalk,False,False
71ab7d3f9b014f6d916ebf6f8b2b7e5f,RadioTalk,False,False
85ab9fb4c4d8468ebc2db97896afea20,AVAS,True,True
9b97214df86c4c3781c35ece388ec0e3,TaxiDriver,False,False
5ea53f9cea954d5db1bbd6467dde1c5f,AVAS,False,True
7836bbc88a674d0190389262c022d607,TaxiDriver,False,False
8a2f55bed6e24d89b3da2550c2e49615,RadioTalk,False,False
8a1314ca31af4c0182835b9d7834e9a8,RadioTalk,False,False
e684e59cf4a545beaf9715ec76e4ee23,TaxiDriver,False,False
ac21392b6a59404dae329be5b9b2a989,RadioTalk,False,False
75a52bc317ee4ee8a872c818ca8e249d,TaxiDriver,False,False
a4abe20f62df425fa69de0cbfb82a8d4,RadioTalk,False,False
44054e8856c94e5eb0465fc6ef68f921,TaxiDriver,False,False
5f5fb7595c53450fb92ab1acae96830b,TaxiDriver,False,False
78c55427a7e4422fa562dd4547282ffc,TaxiDriver,False,False
b0cb6f0681f246c6a19de8f8e5d2ea45,RadioTalk,False,False
3ef0d5e00dd84407a5bd576c3a7875cc,AVAS,True,True
eb3198c069a7405bbdf1743472a81305,RadioTalk,False,False
b4acefc7d36b4abe81d0291e41677a9a,TaxiDriver,False,False
ea422f2027ea47659849bf88b92bc61f,TaxiDriver,False,False
2904da6c2f3a4b10bf982be3f91a9961,AVAS,False,False
e993b1bdc98a4b169d6aae6877fa1553,TaxiDriver,False,False
54ca5a82244e4f09b2f8cb0c65bb05d9,RadioTalk,False,False
e2782411d157481fa8135b31ffedc830,RadioTalk,False,False
005fe0de24c7443fb38fbc59e68e3684,TaxiDriver,False,False
75f6d368fa33408eaeae695ff41a760b,RadioTalk,False,True
d96c0c9e45a44466ad8d4e1775d0d262,TaxiDriver,False,False
ed4867086c75453680e30e960dc1a6a7,AVAS,False,True
375e9403926f4372bae5639070635d6c,AVAS,False,True
